Dipodomys_ordii.Dord_2.0.cds.longest	10020
Dromaius_novaehollandiae.droNov1.cds.longest	8790
Drosophila_melanogaster.BDGP6.32.cds.longest	7227
Echeneis_naucrates.fEcheNa1.1.cds.longest	173247
Echinops_telfairi.TENREC.cds.longest	9371
Electrophorus_electricus.Ee_SOAP_WITH_SSPACE.cds.longest	8005
Eptatretus_burgeri.Eburgeri_3.2.cds.longest	7764
Equus_asinus_asinus.ASM303372v1.cds.longest	83772
Equus_caballus.EquCab3.0.cds.longest	9796
Erinaceus_europaeus.HEDGEHOG.cds.longest	9365
Erpetoichthys_calabaricus.fErpCal1.1.cds.longest	27687
Erythrura_gouldiae.GouldianFinch.cds.longest	44316
Esox_lucius.Eluc_v4.cds.longest	8010
Falco_tinnunculus.FalTin1.0.cds.longest	100819
Felis_catus.Felis_catus_9.0.cds.longest	9685
Ficedula_albicollis.FicAlb1.5.cds.longest	59894
Fukomys_damarensis.DMR_v1.0.cds.longest	885580
Fundulus_heteroclitus.Fundulus_heteroclitus-3.0.2.cds.longest	8078
Gadus_morhua.gadMor3.0.cds.longest	8049
Gallus_gallus.GRCg6a.cds.longest	9031
Gambusia_affinis.ASM309773v1.cds.longest	33528
Gasterosteus_aculeatus.BROADS1.cds.longest	69293
Geospiza_fortis.GeoFor_1.0.cds.longest	48883
Gopherus_agassizii.ASM289641v1.cds.longest	38772
Gopherus_evgoodei.rGopEvg1_v1.p.cds.longest	1825980
Gorilla_gorilla.gorGor4.cds.longest	9595
Gouania_willdenowi.fGouWil2.1.cds.longest	441366
Haplochromis_burtoni.AstBur1.0.cds.longest	8153
Heterocephalus_glaber_female.HetGla_female_1.0.cds.longest	10181
Heterocephalus_glaber_male.HetGla_1.0.cds.longest	10181
Hippocampus_comes.H_comes_QL1_v1.cds.longest	109280
Homo_sapiens.GRCh38.cds.longest	9606
Hucho_hucho.ASM331708v1.cds.longest	62062
Ictalurus_punctatus.IpCoco_1.2.cds.longest	7998
Ictidomys_tridecemlineatus.SpeTri2.0.cds.longest	43179
Jaculus_jaculus.JacJac1.0.cds.longest	51337
Junco_hyemalis.ASM382977v1.cds.longest	40217
Kryptolebias_marmoratus.ASM164957v1.cds.longest	37003
Labrus_bergylta.BallGen_V1.cds.longest	56723
Larimichthys_crocea.L_crocea_2.0.cds.longest	215358
Lates_calcarifer.ASB_HGAPassembly_v1.cds.longest	8187
Laticauda_laticaudata.latLat_1.0.cds.longest	8630
Latimeria_chalumnae.LatCha1.cds.longest	7897
Lepidothrix_coronata.Lepidothrix_coronata-1.0.cds.longest	321398
Lepisosteus_oculatus.LepOcu1.cds.longest	7918
Leptobrachium_leishanense.ASM966780v1.cds.longest	445787
Lonchura_striata_domestica.LonStrDom1.cds.longest	299123
Loxodonta_africana.loxAfr3.cds.longest	9785
Lynx_canadensis.mLynCan4_v1.p.cds.longest	61383
Macaca_fascicularis.Macaca_fascicularis_6.0.cds.longest	9541
Macaca_mulatta.Mmul_10.cds.longest	9544
Macaca_nemestrina.Mnem_1.0.cds.longest	9545
Malurus_cyaneus_samueli.mCya_1.0.cds.longest	2593467
Manacus_vitellinus.ASM171598v2.cds.longest	328815
Mandrillus_leucophaeus.Mleu.le_1.0.cds.longest	9568
Marmota_marmota_marmota.marMar2.1.cds.longest	9994
Mastacembelus_armatus.fMasArm1.2.cds.longest	205130
Maylandia_zebra.M_zebra_UMD2a.cds.longest	106582
Meleagris_gallopavo.Turkey_5.1.cds.longest	9103
Melopsittacus_undulatus.Melopsittacus_undulatus_6.3.cds.longest	13146
Meriones_unguiculatus.MunDraft-v1.0.cds.longest	10047
Mesocricetus_auratus.MesAur1.0.cds.longest	10036
Microcebus_murinus.Mmur_3.0.cds.longest	30608
Microtus_ochrogaster.MicOch1.0.cds.longest	79684
Mola_mola.ASM169857v1.cds.longest	94237
Monodelphis_domestica.ASM229v1.cds.longest	13616
Monodon_monoceros.NGI_Narwhal_1.cds.longest	40151
Monopterus_albus.M_albus_1.0.cds.longest	43700
Moschus_moschiferus.MosMos_v2_BIUU_UCD.cds.longest	68415
Mus_caroli.CAROLI_EIJ_v1.1.cds.longest	10089
Mus_musculus.GRCm39.cds.longest	10090
Mus_musculus_129s1svimj.129S1_SvImJ_v1.cds.longest	10090
Mus_musculus_aj.A_J_v1.cds.longest	10090
Mus_musculus_akrj.AKR_J_v1.cds.longest	10090
Mus_musculus_balbcj.BALB_cJ_v1.cds.longest	10090
Mus_musculus_c3hhej.C3H_HeJ_v1.cds.longest	10090
Mus_musculus_c57bl6nj.C57BL_6NJ_v1.cds.longest	10090
Mus_musculus_casteij.CAST_EiJ_v1.cds.longest	10091
Mus_musculus_cbaj.CBA_J_v1.cds.longest	10090
Mus_musculus_dba2j.DBA_2J_v1.cds.longest	10090
Mus_musculus_fvbnj.FVB_NJ_v1.cds.longest	10090
Mus_musculus_lpj.LP_J_v1.cds.longest	10090
Mus_musculus_nodshiltj.NOD_ShiLtJ_v1.cds.longest	10090
Mus_musculus_nzohlltj.NZO_HlLtJ_v1.cds.longest	10090
Mus_musculus_pwkphj.PWK_PhJ_v1.cds.longest	39442
Mus_musculus_wsbeij.WSB_EiJ_v1.cds.longest	10092
Mus_pahari.PAHARI_EIJ_v1.1.cds.longest	10093
Mus_spicilegus.MUSP714.cds.longest	10103
Mus_spretus.SPRET_EiJ_v1.cds.longest	10096
Mustela_putorius_furo.MusPutFur1.0.cds.longest	9669
Myotis_lucifugus.Myoluc2.0.cds.longest	59463
Myripristis_murdjan.fMyrMur1.1.cds.longest	586833
Naja_naja.Nana_v5.cds.longest	35670
Nannospalax_galili.S.galili_v1.0.cds.longest	1026970
Neogobius_melanostomus.RGoby_Basel_V2.cds.longest	47308
Neolamprologus_brichardi.NeoBri1.0.cds.longest	32507
Neovison_vison.NNQGG.v01.cds.longest	452646
Nomascus_leucogenys.Nleu_3.0.cds.longest	61853
Notamacropus_eugenii.Meug_1.0.cds.longest	9315
Notechis_scutatus.TS10Xv2-PRI.cds.longest	8663
Nothobranchius_furzeri.Nfu_20140520.cds.longest	105023
Nothoprocta_perdicaria.notPer1.cds.longest	30464
Numida_meleagris.NumMel1.0.cds.longest	8996
Ochotona_princeps.OchPri2.0-Ens.cds.longest	9978
Octodon_degus.OctDeg1.0.cds.longest	10160
Oncorhynchus_kisutch.Okis_V2.cds.longest	8019
Oncorhynchus_mykiss.Omyk_1.0.cds.longest	8022
Oncorhynchus_tshawytscha.Otsh_v1.0.cds.longest	74940
Oreochromis_aureus.ASM587006v1.cds.longest	47969
Oreochromis_niloticus.O_niloticus_UMD_NMBU.cds.longest	8128
Ornithorhynchus_anatinus.mOrnAna1.p.v1.cds.longest	9258
Oryctolagus_cuniculus.OryCun2.0.cds.longest	9986
Oryzias_javanicus.OJAV_1.1.cds.longest	123683
Oryzias_latipes.ASM223467v1.cds.longest	8090
Oryzias_latipes_hni.ASM223471v1.cds.longest	8090
Oryzias_latipes_hsok.ASM223469v1.cds.longest	8090
Oryzias_melastigma.Om_v0.7.RACA.cds.longest	30732
Oryzias_sinensis.ASM858656v1.cds.longest	183150
Otolemur_garnettii.OtoGar3.cds.longest	30611
Otus_sunia.OtuSun1.0.cds.longest	257818
Ovis_aries.Oar_v3.1.cds.longest	9940
Ovis_aries_rambouillet.Oar_rambouillet_v1.0.cds.longest	9940
Pan_paniscus.panpan1.1.cds.longest	9597
Pan_troglodytes.Pan_tro_3.0.cds.longest	9598
Panthera_leo.PanLeo1.0.cds.longest	9689
Panthera_pardus.PanPar1.0.cds.longest	9691
Panthera_tigris_altaica.PanTig1.0.cds.longest	74533
Papio_anubis.Panubis1.0.cds.longest	9555
Parambassis_ranga.fParRan2.1.cds.longest	210632
Paramormyrops_kingsleyae.PKINGS_0.1.cds.longest	1676925
Parus_major.Parus_major1.1.cds.longest	9157
Pavo_cristatus.AIIM_Pcri_1.0.cds.longest	9049
Pelodiscus_sinensis.PelSin_1.0.cds.longest	13735
Pelusios_castaneus.Pelusios_castaneus-1.0.cds.longest	367368
Periophthalmus_magnuspinnatus.PM.fa.cds.longest	409849
Peromyscus_maniculatus_bairdii.HU_Pman_2.1.cds.longest	230844
Petromyzon_marinus.Pmarinus_7.0.cds.longest	7757
Phascolarctos_cinereus.phaCin_unsw_v4.1.cds.longest	38626
Phasianus_colchicus.ASM414374v1.cds.longest	9054
Phocoena_sinus.mPhoSin1.pri.cds.longest	42100
Physeter_catodon.ASM283717v2.cds.longest	9755
Piliocolobus_tephrosceles.ASM277652v2.cds.longest	591936
Podarcis_muralis.PodMur_1.0.cds.longest	64176
